date,location,total_deaths,total_deaths_per_million
2020-01-16,North America,0.0,0.0
2020-01-16,Oceania,0.0,0.0
2020-01-16,South America,0.0,0.0
2020-01-17,Africa,0.0,0.0
2020-01-17,Asia,0.0,0.0
2020-01-17,Europe,0.0,0.0
2020-01-17,North America,0.0,0.0
2020-01-17,Oceania,0.0,0.0
2020-01-17,South America,0.0,0.0
2020-01-18,Africa,0.0,0.0
2020-01-18,Asia,0.0,0.0
2020-01-18,Europe,0.0,0.0
2020-01-18,North America,0.0,0.0
2020-01-18,Oceania,0.0,0.0
2020-01-18,South America,0.0,0.0
2020-01-19,Africa,0.0,0.0
2020-01-19,Asia,0.0,0.0
2020-01-19,Europe,0.0,0.0
2020-01-19,North America,0.0,0.0
2020-01-19,Oceania,0.0,0.0
2020-01-19,South America,0.0,0.0
2020-01-20,Africa,0.0,0.0
2020-01-20,Asia,0.0,0.0
2020-01-20,Europe,0.0,0.0
2020-01-20,North America,0.0,0.0
2020-01-20,Oceania,0.0,0.0
2020-01-20,South America,0.0,0.0
2020-01-21,Africa,0.0,0.0
2020-01-21,Asia,0.0,0.0
2020-01-21,Europe,0.0,0.0
2020-01-21,North America,0.0,0.0
2020-01-21,Oceania,0.0,0.0
2020-01-21,South America,0.0,0.0
2020-01-22,Africa,0.0,0.0
2020-01-22,Asia,0.017,0.004
2020-01-22,Europe,0.0,0.0
2020-01-22,North America,0.0,0.0
2020-01-22,Oceania,0.0,0.0
2020-01-22,South America,0.0,0.0
2020-01-23,Africa,0.0,0.0
2020-01-23,Asia,0.018,0.004
2020-01-23,Europe,0.0,0.0
2020-01-23,North America,0.0,0.0
2020-01-23,Oceania,0.0,0.0
2020-01-23,South America,0.0,0.0
2020-01-24,Africa,0.0,0.0
2020-01-24,Asia,0.026,0.006
2020-01-24,Europe,0.0,0.0
2020-01-24,North America,0.0,0.0
2020-01-24,Oceania,0.0,0.0
2020-01-24,South America,0.0,0.0
2020-01-25,Africa,0.0,0.0
2020-01-25,Asia,0.042,0.009
2020-01-25,Europe,0.0,0.0
2020-01-25,North America,0.0,0.0
2020-01-25,Oceania,0.0,0.0
2020-01-25,South America,0.0,0.0
2020-01-26,Africa,0.0,0.0
2020-01-26,Asia,0.056,0.012
2020-01-26,Europe,0.0,0.0
2020-01-26,North America,0.0,0.0
2020-01-26,Oceania,0.0,0.0
2020-01-26,South America,0.0,0.0
2020-01-27,Africa,0.0,0.0
2020-01-27,Asia,0.082,0.018
2020-01-27,Europe,0.0,0.0
2020-01-27,North America,0.0,0.0
2020-01-27,Oceania,0.0,0.0
2020-01-27,South America,0.0,0.0
2020-01-28,Africa,0.0,0.0
2020-01-28,Asia,0.131,0.028
2020-01-28,Europe,0.0,0.0
2020-01-28,North America,0.0,0.0
2020-01-28,Oceania,0.0,0.0
2020-01-28,South America,0.0,0.0
2020-01-29,Africa,0.0,0.0
2020-01-29,Asia,0.133,0.029
2020-01-29,Europe,0.0,0.0
2020-01-29,North America,0.0,0.0
2020-01-29,Oceania,0.0,0.0
2020-01-29,South America,0.0,0.0
2020-01-30,Africa,0.0,0.0
2020-01-30,Asia,0.171,0.037
2020-01-30,Europe,0.0,0.0
2020-01-30,North America,0.0,0.0
2020-01-30,Oceania,0.0,0.0
2020-01-30,South America,0.0,0.0
2020-01-31,Africa,0.0,0.0
2020-01-31,Asia,0.213,0.046
2020-01-31,Europe,0.0,0.0
2020-01-31,North America,0.0,0.0
2020-01-31,Oceania,0.0,0.0
2020-01-31,South America,0.0,0.0
2020-02-01,Africa,0.0,0.0
2020-02-01,Asia,0.259,0.056
2020-02-01,Europe,0.0,0.0
2020-02-01,North America,0.0,0.0
2020-02-01,Oceania,0.0,0.0
2020-02-01,South America,0.0,0.0
2020-02-02,Africa,0.0,0.0
2020-02-02,Asia,0.362,0.078
2020-02-02,Europe,0.0,0.0
2020-02-02,North America,0.0,0.0
2020-02-02,Oceania,0.0,0.0
2020-02-02,South America,0.0,0.0
2020-02-03,Africa,0.0,0.0
2020-02-03,Asia,0.426,0.092
2020-02-03,Europe,0.0,0.0
2020-02-03,North America,0.0,0.0
2020-02-03,Oceania,0.0,0.0
2020-02-03,South America,0.0,0.0
2020-02-04,Africa,0.0,0.0
2020-02-04,Asia,0.492,0.106
2020-02-04,Europe,0.0,0.0
2020-02-04,North America,0.0,0.0
2020-02-04,Oceania,0.0,0.0
2020-02-04,South America,0.0,0.0
2020-02-05,Africa,0.0,0.0
2020-02-05,Asia,0.564,0.122
2020-02-05,Europe,0.0,0.0
2020-02-05,North America,0.0,0.0
2020-02-05,Oceania,0.0,0.0
2020-02-05,South America,0.0,0.0
2020-02-06,Africa,0.0,0.0
2020-02-06,Asia,0.634,0.137
2020-02-06,Europe,0.0,0.0
2020-02-06,North America,0.0,0.0
2020-02-06,Oceania,0.0,0.0
2020-02-06,South America,0.0,0.0
2020-02-07,Africa,0.0,0.0
2020-02-07,Asia,0.719,0.155
2020-02-07,Europe,0.0,0.0
2020-02-07,North America,0.0,0.0
2020-02-07,Oceania,0.0,0.0
2020-02-07,South America,0.0,0.0
2020-02-08,Africa,0.0,0.0
2020-02-08,Asia,0.806,0.174
2020-02-08,Europe,0.0,0.0
2020-02-08,North America,0.0,0.0
2020-02-08,Oceania,0.0,0.0
2020-02-08,South America,0.0,0.0
2020-02-09,Africa,0.0,0.0
2020-02-09,Asia,0.906,0.195
2020-02-09,Europe,0.0,0.0
2020-02-09,North America,0.0,0.0
2020-02-09,Oceania,0.0,0.0
2020-02-09,South America,0.0,0.0
2020-02-10,Africa,0.0,0.0
2020-02-10,Asia,1.013,0.218
2020-02-10,Europe,0.0,0.0
2020-02-10,North America,0.0,0.0
2020-02-10,Oceania,0.0,0.0
2020-02-10,South America,0.0,0.0
2020-02-11,Africa,0.0,0.0
2020-02-11,Asia,1.113,0.24
2020-02-11,Europe,0.0,0.0
2020-02-11,North America,0.0,0.0
2020-02-11,Oceania,0.0,0.0
2020-02-11,South America,0.0,0.0
2020-02-12,Africa,0.0,0.0
2020-02-12,Asia,1.118,0.241
2020-02-12,Europe,0.0,0.0
2020-02-12,North America,0.0,0.0
2020-02-12,Oceania,0.0,0.0
2020-02-12,South America,0.0,0.0
2020-02-13,Africa,0.0,0.0
2020-02-13,Asia,1.371,0.295
2020-02-13,Europe,0.0,0.0
2020-02-13,North America,0.0,0.0
2020-02-13,Oceania,0.0,0.0
2020-02-13,South America,0.0,0.0
2020-02-14,Africa,0.0,0.0
2020-02-14,Asia,1.523,0.328
2020-02-14,Europe,0.0,0.0
2020-02-14,North America,0.0,0.0
2020-02-14,Oceania,0.0,0.0
2020-02-14,South America,0.0,0.0
2020-02-15,Africa,0.0,0.0
2020-02-15,Asia,1.665,0.359
2020-02-15,Europe,0.001,0.001
2020-02-15,North America,0.0,0.0
2020-02-15,Oceania,0.0,0.0
2020-02-15,South America,0.0,0.0
2020-02-16,Africa,0.0,0.0
2020-02-16,Asia,1.769,0.381
2020-02-16,Europe,0.001,0.001
2020-02-16,North America,0.0,0.0
2020-02-16,Oceania,0.0,0.0
2020-02-16,South America,0.0,0.0
2020-02-17,Africa,0.0,0.0
2020-02-17,Asia,1.867,0.402
2020-02-17,Europe,0.001,0.001
2020-02-17,North America,0.0,0.0
2020-02-17,Oceania,0.0,0.0
2020-02-17,South America,0.0,0.0
2020-02-18,Africa,0.0,0.0
2020-02-18,Asia,2.007,0.433
2020-02-18,Europe,0.001,0.001
2020-02-18,North America,0.0,0.0
2020-02-18,Oceania,0.0,0.0
2020-02-18,South America,0.0,0.0
2020-02-19,Africa,0.0,0.0
2020-02-19,Asia,2.122,0.457
2020-02-19,Europe,0.001,0.001
2020-02-19,North America,0.0,0.0
2020-02-19,Oceania,0.0,0.0
2020-02-19,South America,0.0,0.0
2020-02-20,Africa,0.0,0.0
2020-02-20,Asia,2.245,0.484
2020-02-20,Europe,0.001,0.001
2020-02-20,North America,0.0,0.0
2020-02-20,Oceania,0.0,0.0
2020-02-20,South America,0.0,0.0
2020-02-21,Africa,0.0,0.0
2020-02-21,Asia,2.248,0.484
2020-02-21,Europe,0.002,0.003
2020-02-21,North America,0.0,0.0
2020-02-21,Oceania,0.0,0.0
2020-02-21,South America,0.0,0.0
2020-02-22,Africa,0.0,0.0
2020-02-22,Asia,2.454,0.529
2020-02-22,Europe,0.003,0.004
2020-02-22,North America,0.0,0.0
2020-02-22,Oceania,0.0,0.0
2020-02-22,South America,0.0,0.0
2020-02-23,Africa,0.0,0.0
2020-02-23,Asia,2.463,0.531
2020-02-23,Europe,0.004,0.005
2020-02-23,North America,0.0,0.0
2020-02-23,Oceania,0.0,0.0
2020-02-23,South America,0.0,0.0
2020-02-24,Africa,0.0,0.0
2020-02-24,Asia,2.619,0.564
2020-02-24,Europe,0.008,0.011
2020-02-24,North America,0.0,0.0
2020-02-24,Oceania,0.0,0.0
2020-02-24,South America,0.0,0.0
2020-02-25,Africa,0.0,0.0
2020-02-25,Asia,2.696,0.581
2020-02-25,Europe,0.011,0.015
2020-02-25,North America,0.0,0.0
2020-02-25,Oceania,0.0,0.0
2020-02-25,South America,0.0,0.0
2020-02-26,Africa,0.0,0.0
2020-02-26,Asia,2.753,0.593
2020-02-26,Europe,0.014,0.019
2020-02-26,North America,0.0,0.0
2020-02-26,Oceania,0.0,0.0
2020-02-26,South America,0.0,0.0
2020-02-27,Africa,0.0,0.0
2020-02-27,Asia,2.791,0.602
2020-02-27,Europe,0.019,0.025
2020-02-27,North America,0.0,0.0
2020-02-27,Oceania,0.0,0.0
2020-02-27,South America,0.0,0.0
2020-02-28,Africa,0.0,0.0
2020-02-28,Asia,2.844,0.613
2020-02-28,Europe,0.023,0.031
2020-02-28,North America,0.0,0.0
2020-02-28,Oceania,0.0,0.0
2020-02-28,South America,0.0,0.0
2020-02-29,Africa,0.0,0.0
2020-02-29,Asia,2.904,0.626
2020-02-29,Europe,0.031,0.041
2020-02-29,North America,0.001,0.002
2020-02-29,Oceania,0.0,0.0
2020-02-29,South America,0.0,0.0
2020-03-01,Africa,0.0,0.0
2020-03-01,Asia,2.952,0.636
2020-03-01,Europe,0.036,0.048
2020-03-01,North America,0.001,0.002
2020-03-01,Oceania,0.001,0.023
2020-03-01,South America,0.0,0.0
2020-03-02,Africa,0.0,0.0
2020-03-02,Asia,3.017,0.65
2020-03-02,Europe,0.055,0.073
2020-03-02,North America,0.006,0.01
2020-03-02,Oceania,0.001,0.023
2020-03-02,South America,0.0,0.0
2020-03-03,Africa,0.0,0.0
2020-03-03,Asia,3.061,0.66
2020-03-03,Europe,0.085,0.114
2020-03-03,North America,0.007,0.012
2020-03-03,Oceania,0.001,0.023
2020-03-03,South America,0.0,0.0
2020-03-04,Africa,0.0,0.0
2020-03-04,Asia,3.122,0.673
2020-03-04,Europe,0.114,0.152
2020-03-04,North America,0.011,0.019
2020-03-04,Oceania,0.002,0.047
2020-03-04,South America,0.0,0.0
2020-03-05,Africa,0.0,0.0
2020-03-05,Asia,3.169,0.683
2020-03-05,Europe,0.16,0.214
2020-03-05,North America,0.012,0.02
2020-03-05,Oceania,0.002,0.047
2020-03-05,South America,0.0,0.0
2020-03-06,Africa,0.0,0.0
2020-03-06,Asia,3.223,0.695
2020-03-06,Europe,0.215,0.287
2020-03-06,North America,0.014,0.024
2020-03-06,Oceania,0.002,0.047
2020-03-06,South America,0.001,0.002
2020-03-07,Africa,0.0,0.0
2020-03-07,Asia,3.275,0.706
2020-03-07,Europe,0.264,0.353
2020-03-07,North America,0.017,0.029
2020-03-07,Oceania,0.002,0.047
2020-03-07,South America,0.001,0.002
2020-03-08,Africa,0.001,0.001
2020-03-08,Asia,3.361,0.724
2020-03-08,Europe,0.41,0.548
2020-03-08,North America,0.021,0.035
2020-03-08,Oceania,0.003,0.07
2020-03-08,South America,0.003,0.007
2020-03-09,Africa,0.001,0.001
2020-03-09,Asia,3.432,0.74
2020-03-09,Europe,0.527,0.704
2020-03-09,North America,0.023,0.039
2020-03-09,Oceania,0.003,0.07
2020-03-09,South America,0.003,0.007
2020-03-10,Africa,0.002,0.001
2020-03-10,Asia,3.508,0.756
2020-03-10,Europe,0.718,0.959
2020-03-10,North America,0.029,0.049
2020-03-10,Oceania,0.003,0.07
2020-03-10,South America,0.003,0.007
2020-03-11,Africa,0.002,0.001
2020-03-11,Asia,3.605,0.777
2020-03-11,Europe,0.958,1.28
2020-03-11,North America,0.035,0.059
2020-03-11,Oceania,0.003,0.07
2020-03-11,South America,0.003,0.007
2020-03-12,Africa,0.003,0.002
2020-03-12,Asia,3.703,0.798
2020-03-12,Europe,1.154,1.541
2020-03-12,North America,0.045,0.076
2020-03-12,Oceania,0.003,0.07
2020-03-12,South America,0.005,0.012
2020-03-13,Africa,0.006,0.004
2020-03-13,Asia,3.807,0.821
2020-03-13,Europe,1.535,2.05
2020-03-13,North America,0.053,0.09
2020-03-13,Oceania,0.003,0.07
2020-03-13,South America,0.006,0.014
2020-03-14,Africa,0.007,0.005
2020-03-14,Asia,3.929,0.847
2020-03-14,Europe,1.823,2.435
2020-03-14,North America,0.06,0.101
2020-03-14,Oceania,0.003,0.07
2020-03-14,South America,0.008,0.019
2020-03-15,Africa,0.008,0.006
2020-03-15,Asia,4.06,0.875
2020-03-15,Europe,2.315,3.092
2020-03-15,North America,0.072,0.122
2020-03-15,Oceania,0.003,0.07
2020-03-15,South America,0.01,0.023
2020-03-16,Africa,0.008,0.006
2020-03-16,Asia,4.211,0.908
2020-03-16,Europe,2.816,3.761
2020-03-16,North America,0.103,0.174
2020-03-16,Oceania,0.003,0.07
2020-03-16,South America,0.01,0.023
2020-03-17,Africa,0.011,0.008
2020-03-17,Asia,4.37,0.942
2020-03-17,Europe,3.424,4.573
2020-03-17,North America,0.143,0.242
2020-03-17,Oceania,0.005,0.117
2020-03-17,South America,0.015,0.035
2020-03-18,Africa,0.017,0.013
2020-03-18,Asia,4.558,0.982
2020-03-18,Europe,4.067,5.432
2020-03-18,North America,0.209,0.353
2020-03-18,Oceania,0.006,0.141
2020-03-18,South America,0.023,0.053
2020-03-19,Africa,0.02,0.015
2020-03-19,Asia,4.733,1.02
2020-03-19,Europe,4.919,6.57
2020-03-19,North America,0.285,0.481
2020-03-19,Oceania,0.006,0.141
2020-03-19,South America,0.033,0.077
2020-03-20,Africa,0.026,0.019
2020-03-20,Asia,4.909,1.058
2020-03-20,Europe,6.101,8.149
2020-03-20,North America,0.396,0.669
2020-03-20,Oceania,0.007,0.164
2020-03-20,South America,0.046,0.107
2020-03-21,Africa,0.036,0.027
2020-03-21,Asia,5.065,1.092
2020-03-21,Europe,7.538,10.068
2020-03-21,North America,0.504,0.851
2020-03-21,Oceania,0.007,0.164
2020-03-21,South America,0.058,0.135
2020-03-22,Africa,0.048,0.036
2020-03-22,Asia,5.274,1.137
2020-03-22,Europe,8.855,11.827
2020-03-22,North America,0.639,1.079
2020-03-22,Oceania,0.007,0.164
2020-03-22,South America,0.082,0.19
2020-03-23,Africa,0.057,0.043
2020-03-23,Asia,5.43,1.17
2020-03-23,Europe,10.421,13.919
2020-03-23,North America,0.839,1.417
2020-03-23,Oceania,0.007,0.164
2020-03-23,South America,0.102,0.237
2020-03-24,Africa,0.064,0.048
2020-03-24,Asia,5.6,1.207
2020-03-24,Europe,12.254,16.367
2020-03-24,North America,1.088,1.838
2020-03-24,Oceania,0.008,0.187
2020-03-24,South America,0.132,0.306
2020-03-25,Africa,0.073,0.054
2020-03-25,Asia,5.794,1.249
2020-03-25,Europe,14.49,19.354
2020-03-25,North America,1.441,2.434
2020-03-25,Oceania,0.008,0.187
2020-03-25,South America,0.163,0.378
2020-03-26,Africa,0.091,0.068
2020-03-26,Asia,6.038,1.301
2020-03-26,Europe,16.792,22.429
2020-03-26,North America,1.876,3.169
2020-03-26,Oceania,0.013,0.305
2020-03-26,South America,0.197,0.457
2020-03-27,Africa,0.115,0.086
2020-03-27,Asia,6.251,1.347
2020-03-27,Europe,19.47,26.006
2020-03-27,North America,2.428,4.101
2020-03-27,Oceania,0.013,0.305
2020-03-27,South America,0.228,0.529
2020-03-28,Africa,0.134,0.1
2020-03-28,Asia,6.464,1.393
2020-03-28,Europe,22.246,29.714
2020-03-28,North America,3.137,5.298
2020-03-28,Oceania,0.014,0.328
2020-03-28,South America,0.282,0.655
2020-03-29,Africa,0.152,0.113
2020-03-29,Asia,6.68,1.44
2020-03-29,Europe,24.826,33.16
2020-03-29,North America,3.763,6.356
2020-03-29,Oceania,0.017,0.398
2020-03-29,South America,0.333,0.773
2020-03-30,Africa,0.173,0.129
2020-03-30,Asia,6.89,1.485
2020-03-30,Europe,27.868,37.223
2020-03-30,North America,4.526,7.644
2020-03-30,Oceania,0.018,0.422
2020-03-30,South America,0.387,0.898
2020-03-31,Africa,0.2,0.149
2020-03-31,Asia,7.136,1.538
2020-03-31,Europe,31.133,41.584
2020-03-31,North America,5.654,9.55
2020-03-31,Oceania,0.019,0.445
2020-03-31,South America,0.484,1.124
2020-04-01,Africa,0.234,0.175
2020-04-01,Asia,7.439,1.603
2020-04-01,Europe,35.388,47.267
2020-04-01,North America,6.984,11.796
2020-04-01,Oceania,0.021,0.492
2020-04-01,South America,0.572,1.328
2020-04-02,Africa,0.287,0.214
2020-04-02,Asia,7.731,1.666
2020-04-02,Europe,39.195,52.352
2020-04-02,North America,8.571,14.476
2020-04-02,Oceania,0.025,0.586
2020-04-02,South America,0.724,1.681
2020-04-03,Africa,0.331,0.247
2020-04-03,Asia,8.017,1.728
2020-04-03,Europe,43.43,58.009
2020-04-03,North America,10.079,17.023
2020-04-03,Oceania,0.029,0.68
2020-04-03,South America,0.827,1.92
2020-04-04,Africa,0.383,0.286
2020-04-04,Asia,8.328,1.795
2020-04-04,Europe,47.162,62.994
2020-04-04,North America,11.755,19.854
2020-04-04,Oceania,0.031,0.726
2020-04-04,South America,1.007,2.338
2020-04-05,Africa,0.444,0.331
2020-04-05,Asia,8.634,1.861
2020-04-05,Europe,50.172,67.014
2020-04-05,North America,13.493,22.789
2020-04-05,Oceania,0.036,0.844
2020-04-05,South America,1.127,2.616
2020-04-06,Africa,0.487,0.363
2020-04-06,Asia,8.948,1.929
2020-04-06,Europe,53.723,71.757
2020-04-06,North America,15.401,26.012
2020-04-06,Oceania,0.041,0.961
2020-04-06,South America,1.28,2.971
2020-04-07,Africa,0.533,0.398
2020-04-07,Asia,9.236,1.991
2020-04-07,Europe,58.811,78.553
2020-04-07,North America,18.069,30.518
2020-04-07,Oceania,0.046,1.078
2020-04-07,South America,1.488,3.454
2020-04-08,Africa,0.574,0.428
2020-04-08,Asia,9.543,2.057
2020-04-08,Europe,62.771,83.842
2020-04-08,North America,20.348,34.367
2020-04-08,Oceania,0.051,1.195
2020-04-08,South America,1.74,4.039
2020-04-09,Africa,0.627,0.468
2020-04-09,Asia,9.905,2.135
2020-04-09,Europe,67.559,90.237
2020-04-09,North America,22.724,38.38
2020-04-09,Oceania,0.052,1.218
2020-04-09,South America,2.035,4.724
2020-04-10,Africa,0.693,0.517
2020-04-10,Asia,10.262,2.212
2020-04-10,Europe,71.973,96.133
2020-04-10,North America,25.07,42.343
2020-04-10,Oceania,0.056,1.312
2020-04-10,South America,2.279,5.291
2020-04-11,Africa,0.742,0.553
2020-04-11,Asia,10.624,2.29
2020-04-11,Europe,75.297,100.573
2020-04-11,North America,27.372,46.231
2020-04-11,Oceania,0.061,1.429
2020-04-11,South America,2.497,5.797
2020-04-12,Africa,0.788,0.588
2020-04-12,Asia,11.024,2.376
2020-04-12,Europe,78.497,104.847
2020-04-12,North America,29.426,49.7
2020-04-12,Oceania,0.064,1.5
2020-04-12,South America,2.734,6.347
2020-04-13,Africa,0.834,0.622
2020-04-13,Asia,11.358,2.448
2020-04-13,Europe,81.725,109.159
2020-04-13,North America,31.618,53.402
2020-04-13,Oceania,0.066,1.546
2020-04-13,South America,2.983,6.925
2020-04-14,Africa,0.873,0.651
2020-04-14,Asia,11.754,2.533
2020-04-14,Europe,85.33,113.974
2020-04-14,North America,34.295,57.924
2020-04-14,Oceania,0.071,1.664
2020-04-14,South America,3.342,7.758
2020-04-15,Africa,0.91,0.679
2020-04-15,Asia,12.077,2.603
2020-04-15,Europe,90.351,120.68
2020-04-15,North America,37.118,62.692
2020-04-15,Oceania,0.072,1.687
2020-04-15,South America,3.721,8.638
2020-04-16,Africa,0.965,0.72
2020-04-16,Asia,12.439,2.681
2020-04-16,Europe,94.535,126.269
2020-04-16,North America,39.531,66.767
2020-04-16,Oceania,0.072,1.687
2020-04-16,South America,4.086,9.486
2020-04-17,Africa,1.016,0.758
2020-04-17,Asia,14.093,3.037
2020-04-17,Europe,98.607,131.708
2020-04-17,North America,41.854,70.691
2020-04-17,Oceania,0.077,1.804
2020-04-17,South America,4.508,10.465
2020-04-18,Africa,1.058,0.789
2020-04-18,Asia,14.43,3.11
2020-04-18,Europe,101.796,135.967
2020-04-18,North America,44.109,74.499
2020-04-18,Oceania,0.078,1.828
2020-04-18,South America,4.923,11.429
2020-04-19,Africa,1.121,0.836
2020-04-19,Asia,14.802,3.19
2020-04-19,Europe,104.208,139.189
2020-04-19,North America,46.298,78.197
2020-04-19,Oceania,0.079,1.851
2020-04-19,South America,5.233,12.148
2020-04-20,Africa,1.159,0.865
2020-04-20,Asia,15.159,3.267
2020-04-20,Europe,107.041,142.973
2020-04-20,North America,48.717,82.282
2020-04-20,Oceania,0.079,1.851
2020-04-20,South America,5.616,13.037
2020-04-21,Africa,1.189,0.887
2020-04-21,Asia,15.533,3.348
2020-04-21,Europe,110.798,147.991
2020-04-21,North America,51.59,87.135
2020-04-21,Oceania,0.08,1.875
2020-04-21,South America,6.022,13.98
2020-04-22,Africa,1.24,0.925
2020-04-22,Asia,15.891,3.425
2020-04-22,Europe,114.201,152.536
2020-04-22,North America,54.379,91.845
2020-04-22,Oceania,0.081,1.898
2020-04-22,South America,6.455,14.985
2020-04-23,Africa,1.297,0.967
2020-04-23,Asia,16.24,3.5
2020-04-23,Europe,117.337,156.725
2020-04-23,North America,57.129,96.49
2020-04-23,Oceania,0.092,2.156
2020-04-23,South America,7.185,16.68
2020-04-24,Africa,1.324,0.988
2020-04-24,Asia,16.623,3.583
2020-04-24,Europe,120.669,161.176
2020-04-24,North America,59.673,100.787
2020-04-24,Oceania,0.097,2.273
2020-04-24,South America,7.848,18.219
2020-04-25,Africa,1.375,1.026
2020-04-25,Asia,16.973,3.658
2020-04-25,Europe,123.445,164.884
2020-04-25,North America,61.681,104.178
2020-04-25,Oceania,0.098,2.296
2020-04-25,South America,8.517,19.772
2020-04-26,Africa,1.423,1.061
2020-04-26,Asia,17.27,3.722
2020-04-26,Europe,125.167,167.184
2020-04-26,North America,63.307,106.924
2020-04-26,Oceania,0.102,2.39
2020-04-26,South America,9.068,21.051
2020-04-27,Africa,1.462,1.091
2020-04-27,Asia,17.631,3.8
2020-04-27,Europe,127.243,169.956
2020-04-27,North America,65.105,109.961
2020-04-27,Oceania,0.102,2.39
2020-04-27,South America,9.803,22.757
2020-04-28,Africa,1.523,1.136
2020-04-28,Asia,17.974,3.874
2020-04-28,Europe,130.049,173.704
2020-04-28,North America,67.669,114.292
2020-04-28,Oceania,0.108,2.531
2020-04-28,South America,10.841,25.167
2020-04-29,Africa,1.588,1.185
2020-04-29,Asia,18.351,3.955
2020-04-29,Europe,132.922,177.542
2020-04-29,North America,70.51,119.09
2020-04-29,Oceania,0.11,2.577
2020-04-29,South America,11.656,27.059
2020-04-30,Africa,1.634,1.219
2020-04-30,Asia,18.706,4.032
2020-04-30,Europe,135.17,180.544
2020-04-30,North America,73.031,123.348
2020-04-30,Oceania,0.112,2.624
2020-04-30,South America,12.541,29.114
2020-05-01,Africa,1.692,1.262
2020-05-01,Asia,19.03,4.101
2020-05-01,Europe,137.015,183.009
2020-05-01,North America,75.284,127.153
2020-05-01,Oceania,0.113,2.648
2020-05-01,South America,13.542,31.437
2020-05-02,Africa,1.759,1.312
2020-05-02,Asia,19.409,4.183
2020-05-02,Europe,139.298,186.058
2020-05-02,North America,77.277,130.52
2020-05-02,Oceania,0.114,2.671
2020-05-02,South America,14.647,34.003
2020-05-03,Africa,1.796,1.34
2020-05-03,Asia,19.699,4.246
2020-05-03,Europe,140.429,187.569
